range,midpoint,mean,A1,psi1,p,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,phi9,phi10,phi11,phi12,ljung,var
4.2,-2.79,-2.583194444,-0.59639027,-0.863073736,1,0.989303048,,,,,,,,,,,,0.038993682,0.034162134
6.07,-4.255,-4.191736111,2.681194078,-4.826006246,2,1.210161341,-0.230011539,,,,,,,,,,,0.454171691,0.03929855
7.26,2.35,2.047847222,1.886586534,1.387873068,2,1.778068163,-0.791891267,,,,,,,,,,,0.306722338,0.010618397
4.63,1.605,0.748263889,0.671831726,0.503877917,3,1.763788693,-1.003939731,0.236559603,,,,,,,,,,0.991912667,0.011451322
3.69,-1.075,-1.008333333,1.244434055,0.701875488,2,1.180620368,-0.258313757,,,,,,,,,,,0.020341425,0.025136793
3.76,-0.58,0.019375,-1.531607349,95.18752269,2,1.272580032,-0.27486616,,,,,,,,,,,0.160750582,0.005771634
5.31,0.355,0.233194444,2.345408589,-10.37290407,2,1.296042193,-0.325149323,,,,,,,,,,,0.165880126,0.011399983
4.52,2.05,2.494166667,2.018345835,1.758653586,2,1.498559301,-0.501347145,,,,,,,,,,,0.672854228,0.008047655
3.97,6.205,6.358680556,1.707149199,1.635924789,2,1.597867796,-0.600336078,,,,,,,,,,,0.013993981,0.004373359
7.26,4.25,4.967291667,1.199612589,4.651972332,2,1.653805394,-0.656310273,,,,,,,,,,,0.016490996,0.013886724
3.5,-0.63,-0.754861111,1.187345826,10.95871033,2,1.21722363,-0.226731854,,,,,,,,,,,0.162385931,0.014238593
2.96,-0.97,-1.252222222,0.755112604,1.421940291,2,1.422341451,-0.431794968,,,,,,,,,,,0.183931776,0.009062458
2.2,1.23,1.651527778,-0.520472014,-0.885506431,2,1.496831557,-0.54093586,,,,,,,,,,,0.696143104,0.005815793
2.66,1.83,1.386458333,0.212674687,0.224839912,2,1.748576117,-0.779633962,,,,,,,,,,,0.580995562,0.005238044
2.76,1.81,1.559097222,0.563390863,0.458098811,2,1.408542702,-0.44269043,,,,,,,,,,,0.050194764,0.009111621
2.72,4.2,4.155208333,-0.705659753,0.194937368,2,1.212300823,-0.275803085,,,,,,,,,,,0.44242447,0.016577378
3.63,1.805,1.912986111,0.56352399,0.824921945,3,1.255823535,-0.6089403,0.30100923,,,,,,,,,,0.815380717,0.039312223
4.68,1.38,0.241180556,0.986196711,-0.759979729,4,1.476202726,-0.467070529,0.237299142,-0.255182957,,,,,,,,,0.941728834,0.006950925
2.24,0.02,0.199722222,-0.75299996,-0.911824012,2,1.244444864,-0.266142358,,,,,,,,,,,0.19464065,0.006484368
3.9,-1.1,-0.899930556,1.151757497,4.642263338,2,1.243709202,-0.249213297,,,,,,,,,,,0.860668764,0.014963765
5.11,-3.495,-3.845277778,1.491161395,1.982713169,2,1.278891,-0.301405384,,,,,,,,,,,0.08637793,0.028150139
8.42,-3.19,-2.814861111,4.145040797,1.453098084,1,0.996349719,,,,,,,,,,,,0.564404449,0.031030515
