n,range,midpoint,mean,A1,psi1,p,phi1,phi2,phi3,phi4,phi5,phi6,phi7,phi8,phi9,phi10,phi11,phi12,ljung,var
1,3.75,6.605,5.953333333,-0.963518158,-0.839063569,2,1.390521914,-0.403076219,,,,,,,,,,,0.003594228,0.010383683
2,5.7,6.82,5.865277778,2.051395044,39.72584355,2,1.613151786,-0.631587062,,,,,,,,,,,0.446017338,0.011457367
3,4.44,8.64,8.743888889,1.569105963,1.571470285,2,1.723300767,-0.740269546,,,,,,,,,,,0.646994105,0.00635803
4,2.73,8.155,8.017708333,-0.307137755,0.038714189,3,2.061727498,-1.387451459,0.319716115,,,,,,,,,,0.737102501,0.002784849
5,1.6,7.59,7.453125,-0.417805304,-1.152686751,2,1.509901394,-0.542771565,,,,,,,,,,,0.720727456,0.001723215
6,3.35,7.195,7.427708333,-0.901850169,0.349334685,2,1.650786842,-0.656944591,,,,,,,,,,,0.240604611,0.002417405
7,3.38,7.49,7.352986111,-1.368455272,11.48561023,3,1.515537403,-0.778514058,0.222666482,,,,,,,,,,0.812513665,0.005314012
8,3.08,8.13,8.669791667,0.561638756,-4.305256047,2,1.557549677,-0.570087539,,,,,,,,,,,0.274439153,0.005591282
9,3.79,10.635,10.53902778,1.90640143,1.606606149,2,1.74678544,-0.75363096,,,,,,,,,,,0.861898033,0.003458316
10,4.43,10.405,11.00798611,-1.020715924,0.954076917,2,1.679154265,-0.683729311,,,,,,,,,,,0.472142184,0.005810561
11,3.25,7.625,7.815416667,-0.789728943,0.290513308,4,1.268008652,-0.327620888,0.495737765,-0.450700159,,,,,,,,,0.11293225,0.004588006
12,3.09,7.595,7.238611111,-0.968118295,5.127674273,4,1.613751913,-0.839629132,0.464114676,-0.265667059,,,,,,,,,0.0521583,0.004795906
13,1.7,8.12,8.172916667,-0.477471955,-0.816665349,2,1.580959324,-0.66907187,,,,,,,,,,,0.606711967,0.004219637
14,4.92,10.52,10.35625,1.850831027,1.829419838,2,1.69580789,-0.712846062,,,,,,,,,,,0.612729165,0.010634572
15,5.07,13.045,12.27027778,-1.090822531,-0.168899094,2,1.60076953,-0.631328804,,,,,,,,,,,0.236836886,0.022910779
16,6.42,11.64,11.23986111,-1.05245378,-0.652370002,2,1.605177314,-0.614850313,,,,,,,,,,,0.003613881,0.020876301
17,4.06,9.06,8.724375,-1.08540787,5.0088781,3,1.614503719,-0.929753978,0.283508128,,,,,,,,,,0.738366744,0.022526886
18,2.81,8.835,8.568263889,-0.105099973,-1.161129553,2,1.719078719,-0.727675247,,,,,,,,,,,0.162919568,0.003293804
19,1.86,7.26,7.3375,0.647247965,-4.456168419,2,1.568302362,-0.594423776,,,,,,,,,,,0.219505369,0.001673832
20,3.27,7.015,7.277638889,-0.710647354,-0.103130022,2,1.260459928,-0.261956604,,,,,,,,,,,0.139549394,0.005211191
21,5.16,6.72,5.694861111,1.814375957,71.23637794,6,1.448157988,-0.624403734,0.312126561,-0.101520846,0.225058067,-0.287496287,,,,,,,0.033325521,0.006667766
22,3.46,5.5,5.668958333,1.654033587,1.677686638,2,1.336110899,-0.346787848,,,,,,,,,,,0.749526138,0.005385392
23,3.23,6.325,6.492569444,-0.759469472,0.036716533,2,1.498145105,-0.505577571,,,,,,,,,,,0.338930752,0.00333494
24,4.6,6.34,5.532847222,1.675729254,127.8646844,5,1.595644866,-0.77070776,0.300161164,0.034568104,-0.185969283,,,,,,,,0.880239063,0.005080985
25,1.74,5.19,5.008958333,-0.337006009,-0.699823123,2,1.190547148,-0.217523452,,,,,,,,,,,0.84498017,0.00295623
26,3.77,5.935,5.762291667,1.887643302,1.632140823,2,1.54402564,-0.55332659,,,,,,,,,,,0.108134789,0.003829578
27,4.74,8.61,8.618125,1.991464113,127.7521183,2,1.581803486,-0.612723774,,,,,,,,,,,0.143578846,0.008679883
28,3.25,8.775,8.515625,-1.022048059,1.091031006,2,1.437686354,-0.504655261,,,,,,,,,,,0.015415198,0.018749923
29,2.2,7.8,7.706111111,-0.776429175,36.75772887,2,1.373357587,-0.455101921,,,,,,,,,,,0.990099167,0.002341224
30,4.21,9.405,9.193958333,-1.289750494,4.973656718,2,1.709929235,-0.721783261,,,,,,,,,,,0.10398469,0.006341978
31,5.24,13.41,13.57756944,-1.646719732,-0.347175632,2,1.543422609,-0.576388669,,,,,,,,,,,0.294314682,0.010459247
32,4.33,12.945,13.26333333,-1.261663734,0.307180143,3,1.755923477,-1.001888174,0.218277984,,,,,,,,,,0.767820971,0.009024359
33,4.04,11.3,10.61604167,1.102809253,0.571092828,5,1.862394533,-1.031690182,0.469395273,-0.637345448,0.324059131,,,,,,,,0.18202923,0.006847101
34,4.2,12.05,11.91791667,-0.774052465,0.367381745,4,1.526842166,-1.069312983,0.797734249,-0.288686405,,,,,,,,,0.905299656,0.02742063
35,2.93,8.375,7.926805556,0.0874955,0.324482583,3,1.8592875,-1.295299899,0.424031873,,,,,,,,,,0.000542804,0.009691833
36,3.14,7.01,7.042986111,-0.540638624,0.293477854,5,1.098606642,-0.014583671,0.155444895,-0.002510658,-0.254114208,,,,,,,,0.633125276,0.005392917
37,2.71,6.855,7.213055556,-1.229867504,17.75858489,2,1.609277943,-0.615578501,,,,,,,,,,,0.160832174,0.002554752
38,1.86,7.78,7.878680556,-0.54946386,-0.922325387,2,1.309263857,-0.318200075,,,,,,,,,,,0.018995033,0.00171803
39,5.78,8.54,8.211875,2.536022122,-10.50434287,4,1.448182529,-0.425471815,0.236844088,-0.281605749,,,,,,,,,0.017423857,0.004991103
40,6.64,11.37,11.49180556,-3.304320059,36.16784933,2,1.619541799,-0.623026501,,,,,,,,,,,0.152258089,0.011477061
41,7.6,10.6,10.26513889,1.734644798,-1.085422263,3,1.801192663,-1.162866026,0.340832278,,,,,,,,,,0.221655564,0.064771815
42,2.39,8.265,8.080138889,-0.63691699,-0.300308988,3,1.310195898,-0.546452654,0.214232259,,,,,,,,,,0.75664436,0.01043385
43,2.26,8.11,7.873541667,-0.845196629,-0.662356751,3,1.412666538,-0.702397554,0.238322086,,,,,,,,,,0.009294811,0.007209592
44,2.61,7.735,7.630486111,-1.122939454,5.028454313,4,1.413294147,-0.548682591,0.35629552,-0.280831262,,,,,,,,,0.880621921,0.003891628
45,2.82,9.02,8.939652778,-1.144103317,-0.546885215,4,1.461403457,-0.795163164,0.523003138,-0.237122363,,,,,,,,,0.815289603,0.005630104
46,5.43,9.755,9.509652778,2.374801809,-10.82114599,6,1.621817044,-0.906860556,0.662169984,-0.620599379,0.456537686,-0.243035977,,,,,,,0.638378113,0.009871955
47,8.8,15.2,15.01618056,-3.430550436,17.35148254,2,1.679052332,-0.685212577,,,,,,,,,,,0.706721979,0.022874002
48,9.32,13.8,11.51201389,1.102465427,-1.04611084,3,1.764632686,-0.998155644,0.227341404,,,,,,,,,,0.999996495,0.054192202
49,2.44,9.49,9.435138889,-0.725025448,-0.317409044,3,1.274723765,-0.570726122,0.264273414,,,,,,,,,,0.05616634,0.011007078
50,2.55,8.435,8.619722222,-0.222096597,0.394838114,2,1.594703238,-0.626533928,,,,,,,,,,,0.714797235,0.007008682
51,4.3,8.26,8.554236111,1.802506942,1.730173358,3,1.556878939,-0.525955129,-0.03479259,,,,,,,,,,0.609646506,0.004779281
52,3.08,8.77,8.898263889,-0.997874242,30.05625016,2,1.345642063,-0.359070253,,,,,,,,,,,0.446752635,0.008346011
53,5.53,10.755,10.88930556,2.682546021,8.096728595,4,1.904174608,-1.398845686,0.653868052,-0.169456591,,,,,,,,,0.275350091,0.006493786
54,6.11,11.945,12.17590278,-1.449934205,-0.868538043,2,1.700778736,-0.710418177,,,,,,,,,,,0.995768242,0.009901801
55,4.9,9.86,8.938611111,1.322122648,0.795669552,2,1.763562463,-0.772728892,,,,,,,,,,,0.662070115,0.005582197
56,5.34,10.33,10.87,-1.453438122,0.72307415,3,1.583321483,-0.883035187,0.291003158,,,,,,,,,,0.002698208,0.024028305
57,1.71,7.485,7.166736111,-0.172061281,-0.912093199,3,1.855059718,-1.178340143,0.267161534,,,,,,,,,,0.064156135,0.005737208
58,2.39,7.395,7.128680556,-0.823130593,-0.148748932,2,1.540121611,-0.568059583,,,,,,,,,,,0.840282057,0.00457608
59,2.48,7.46,7.289166667,-0.852638255,-0.875544171,2,1.409914973,-0.422949995,,,,,,,,,,,0.081226107,0.005069761
60,7.01,9.725,9.799444444,3.064375049,-10.54898004,3,1.838129556,-1.101063696,0.220842718,,,,,,,,,,0.187557254,0.007355373
61,4.43,10.825,10.36083333,-1.658672775,5.637213944,2,1.330656428,-0.385903401,,,,,,,,,,,0.399465968,0.013817959
62,5.16,10.07,9.971041667,1.722541444,1.803051943,2,1.466048051,-0.493902252,,,,,,,,,,,0.234621482,0.012999072
63,4.38,8.55,8.499097222,-0.47405875,-0.099219223,5,1.502152289,-0.754928359,0.31454233,0.200153064,-0.282361115,,,,,,,,0.104682127,0.011519481
64,3.99,7.445,7.225833333,-1.881782748,-70.03766346,6,1.425969676,-0.709036152,0.489435008,-0.305573233,0.358006353,-0.314710726,,,,,,,0.054301877,0.006113888
65,6.87,8.825,8.545555556,3.044997612,-4.227421679,3,1.371580362,-0.173721174,-0.229843034,,,,,,,,,,0.014964006,0.010477952
66,3.2,9.15,9.103541667,-1.340149577,0.187324935,3,1.686900583,-0.977140759,0.250672694,,,,,,,,,,0.376383271,0.002296833
67,2.2,8.09,8.177152778,-0.844026217,-0.928252041,2,1.295908873,-0.346648053,,,,,,,,,,,0.017831559,0.004167007
68,5.54,8.79,8.813263889,2.369939983,8.186741461,3,1.394343718,-0.152467149,-0.252670589,,,,,,,,,,0.727630603,0.007948079
69,5.04,10.38,10.15902778,-1.412618756,-0.61506005,3,1.511936258,-0.786502737,0.261108218,,,,,,,,,,0.037815986,0.018435802
70,5.86,10.48,9.511666667,1.523273236,1.284047865,4,1.649528346,-0.643357917,0.05589643,-0.064593346,,,,,,,,,0.572524985,0.006261294
71,4.39,12.045,12.13993056,1.172352703,0.548709881,2,1.606520776,-0.637932364,,,,,,,,,,,0.628711752,0.014249591
72,6.28,12.09,12.646875,2.039270251,-2.276999332,3,1.52135222,-0.814195719,0.263085181,,,,,,,,,,0.499595586,0.052698163
73,4.88,9.76,9.453680556,1.786453537,-22.68719402,3,1.630748822,-0.963804137,0.299905669,,,,,,,,,,0.212113449,0.019125398
74,4.86,9.27,8.862638889,1.735391132,-66.8867071,2,1.20412612,-0.231439981,,,,,,,,,,,0.145839016,0.019820658
75,8.52,10.43,10.15333333,4.135008169,8.43354751,2,1.470018385,-0.496659661,,,,,,,,,,,0.001396879,0.010848425
76,13.36,13.44,12.49493056,-5.628707405,5.29020524,4,1.507654508,-0.720395646,0.444941618,-0.261374089,,,,,,,,,0.359532505,0.035732955
77,6.59,11.925,11.26583333,-2.885438245,-7.208610313,2,1.393088387,-0.476569553,,,,,,,,,,,0.168834571,0.021987128
78,13.7,13.24,12.59201389,-6.769165959,5.181802833,5,1.293596154,-0.333267716,0.104272385,0.188593299,-0.296210149,,,,,,,,0.740228639,0.033844638
79,9.05,13.355,13.37965278,4.516719669,2.194977404,3,1.290471661,-0.151173375,-0.185156583,,,,,,,,,,0.045169078,0.025134926
80,3.7,9.62,9.763055556,-0.822001115,26.29757855,6,1.663985756,-0.8345343,0.239820056,-0.063036401,0.290829075,-0.302582238,,,,,,,0.978673742,0.001615412
81,2.21,7.455,7.716805556,-0.313030392,0.004724998,6,1.52437068,-0.776975013,0.309766183,0.190590689,-0.07183029,-0.195917859,,,,,,,0.166599125,0.001559544
82,3.14,6.49,6.351875,-1.239985535,200.0206789,2,1.193386591,-0.20950456,,,,,,,,,,,0.417284413,0.004030691
83,4.23,6.215,6.317291667,1.746358434,184.3791858,1,0.93976314,,,,,,,,,,,,0.001228431,0.008347426
84,5.47,6.735,6.765833333,2.529041774,-10.49972117,1,0.961504539,,,,,,,,,,,,1.30377E-05,0.007118
85,5.82,6.98,7.264583333,2.681331486,-4.222496586,4,1.135053323,-0.083417354,0.162545427,-0.251187151,,,,,,,,,0.69734841,0.006390523
86,6.31,8.895,8.604375,3.00538779,-10.54916815,2,1.176292835,-0.216532504,,,,,,,,,,,0.725156892,0.006994416
87,12.42,12.66,11.79201389,-5.791583666,5.051554366,4,1.412188305,-0.310866425,0.127258837,-0.251899761,,,,,,,,,0.658829841,0.009241948
88,7.79,11.025,11.00131944,-3.1512112,42.95320541,2,1.425751125,-0.435756867,,,,,,,,,,,0.740613217,0.013900084
89,3.33,7.335,7.362152778,-0.970823221,0.702196501,5,1.675525385,-0.881989818,0.250601208,0.151149539,-0.210525664,,,,,,,,0.603902253,0.003899167
90,4.57,6.715,6.505277778,1.673246677,2.197027281,7,1.244176481,-0.408599222,0.286319909,-0.066459174,-0.163260505,0.347887712,-0.30495557,,,,,,0.482382104,0.010894118
91,3.06,6.44,6.648055556,-0.783565469,-0.54089363,4,1.08730113,-0.321283317,0.497977094,-0.275500449,,,,,,,,,0.633772058,0.008321053
92,7.64,7.6,7.446527778,3.762383012,2.113595029,1,0.912784904,,,,,,,,,,,,0.026183156,0.016428308
93,9.88,9.53,9.191875,-4.745195096,5.215596405,2,1.30425891,-0.331206809,,,,,,,,,,,0.006689778,0.013205544
94,4.83,9.735,9.441458333,1.464764301,-4.190654609,2,1.507189106,-0.566412749,,,,,,,,,,,0.150703243,0.009930628
95,6.8,10.18,9.919097222,-2.784454628,-32.51119612,2,1.219672761,-0.241415437,,,,,,,,,,,0.942864142,0.015405047
96,12.85,12.075,12.09520833,-6.39795342,5.261612227,2,1.190770203,-0.227021485,,,,,,,,,,,1.35628E-05,0.032310478
97,20.45,16.775,15.73118056,-9.634646923,5.274432262,1,0.921436352,,,,,,,,,,,,0.077766012,0.083731906
98,11.91,14.055,14.70826389,-5.782346474,5.353099586,2,1.320178701,-0.353904005,,,,,,,,,,,0.112321637,0.037021067
99,17.27,16.755,15.48180556,8.266936305,58.6088439,2,1.411612768,-0.436246229,,,,,,,,,,,0.154519274,0.083019951
100,12.89,14.145,14.27506944,-6.150485588,5.34018675,1,0.95097716,,,,,,,,,,,,0.148898156,0.045968891
101,12.13,14.095,13.68534722,-5.631576545,5.379165752,4,1.148159309,-0.285196413,0.367435256,-0.271929228,,,,,,,,,0.106716534,0.051960388
102,11.49,12.395,12.29104167,-5.313660583,5.291801759,1,0.945600293,,,,,,,,,,,,0.004252766,0.034247143
103,20.92,17.32,17.06895833,-10.45101579,5.247623415,2,1.213841701,-0.243667932,,,,,,,,,,,0.262165635,0.144401219
104,8.6,11.23,10.94819444,1.603477327,-1.601586962,2,1.53183008,-0.546227962,,,,,,,,,,,0.916042765,0.07421712
105,5.42,9.03,8.635486111,2.161020472,-299.5393478,1,0.924289243,,,,,,,,,,,,0.283782266,0.038615547
106,13.96,12.62,11.37243056,-6.443121899,5.169170538,2,1.280206868,-0.374337589,,,,,,,,,,,0.068256641,0.057056562
107,19.42,16.79,16.13090278,-9.690521395,5.255642828,2,1.253766884,-0.310441697,,,,,,,,,,,0.16338908,0.06188741
108,10.22,15.37,15.03930556,-4.93047175,5.31470073,2,1.147887215,-0.183679698,,,,,,,,,,,0.776067366,0.022123758
109,14.74,15.82,15.44395833,-7.180743307,5.350298603,2,1.295584835,-0.333318001,,,,,,,,,,,0.544123797,0.056197285
110,6.86,12.37,12.13201389,2.983556312,234.386051,2,1.383731897,-0.39563874,,,,,,,,,,,0.664970534,0.014156427
111,7.82,11.89,12.09583333,3.601678382,-4.177643737,4,1.175126409,-0.164069593,0.211291688,-0.285324389,,,,,,,,,0.893669705,0.007109503
112,9.63,13.305,13.365,-4.647013246,5.144692347,2,1.291314809,-0.322319597,,,,,,,,,,,0.063024718,0.00595634
113,10.7,14.47,14.62076389,-4.992655074,5.230886352,2,1.265831678,-0.318686771,,,,,,,,,,,0.294834345,0.013367842
114,15.73,15.975,15.778125,-6.828469863,5.226892076,1,0.952745536,,,,,,,,,,,,0.01602726,0.065808138
115,16.44,16.52,16.39965278,-8.249758926,5.362122268,3,1.369242623,-0.087101351,-0.318670764,,,,,,,,,,0.172831408,0.03934848
116,6.06,12.16,11.95493056,2.181222893,1.869165007,2,1.235670806,-0.243534279,,,,,,,,,,,0.345163677,0.022609835
117,13.8,13.76,13.53291667,-6.41376206,5.292661128,1,0.9162871,,,,,,,,,,,,0.021543251,0.054106389
118,18.9,16.98,16.97430556,-9.339963728,5.332275232,2,1.225418917,-0.262351209,,,,,,,,,,,0.462231782,0.07343212
119,16.18,17.64,16.51701389,-6.329775732,-0.595701829,2,1.583975766,-0.606320019,,,,,,,,,,,0.05336947,0.084382101
120,8.4,17.64,16.85069444,3.715906316,-3.997167055,3,1.162780745,-0.554706357,0.314240214,,,,,,,,,,0.059027483,0.054801783
121,7.29,15.515,14.77090278,-2.544159304,-19.297069,2,1.336776877,-0.440829612,,,,,,,,,,,0.112245884,0.055019319
122,5.58,13.43,12.83305556,-1.455859102,-0.017118593,2,1.436041235,-0.537950103,,,,,,,,,,,0.203394701,0.09378484
123,3.78,11.53,11.04666667,-0.771745224,-0.38037724,2,1.323772009,-0.435203736,,,,,,,,,,,5.31677E-05,0.059689527
124,7.06,13.49,13.23826389,3.034673229,-4.051072261,2,1.186048838,-0.324985246,,,,,,,,,,,0.001093057,0.039112198
125,5.73,11.315,11.11881944,-1.736924492,-0.23841036,2,1.598905326,-0.611602476,,,,,,,,,,,0.123726683,0.010656552
126,7.05,9.955,10.01256944,3.396322102,-4.098115602,1,0.888732186,,,,,,,,,,,,0.585334852,0.031373541
127,12.2,12.06,11.97965278,-5.157346714,5.234669968,2,1.23890021,-0.283781492,,,,,,,,,,,0.405276646,0.044244636
